"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"№","Идентификационный код ценной бумаги","Полное фирменное наименование эмитента ценных бумаг","Вид, категория (тип) ценной бумаги","Международный код (номер) идентификации ценных бумаг (ISIN)","Дата возобновления торгов с 10:00 мск"
"55","CDNS","Cadence Design Systems, Inc.","Акции иностранного эмитента обыкновенные","US1273871087","17.08.2022"
"56","CF","CF Industries Holdings, Inc.","Акции иностранного эмитента обыкновенные","US1252691001","10.08.2022"
"57","CFLT","Confluent, Inc.","Акции иностранного эмитента обыкновенные класса A","US20717M1036","17.08.2022"
"58","CHGG","Chegg, Inc.","Акции иностранного эмитента обыкновенные","US1630921096","10.08.2022"
"59","CHTR","Charter Communications, Inc.","Акции иностранного эмитента обыкновенные класса A","US16119P1084","17.08.2022"
"60","CI","Cigna Corporation","Акции иностранного эмитента обыкновенные","US1255231003","17.08.2022"
"61","CL","Colgate-Palmolive Company","Акции иностранного эмитента обыкновенные","US1941621039","10.08.2022"
"62","CLF","Cleveland-Cliffs Inc.","Акции иностранного эмитента обыкновенные","US1858991011","10.08.2022"
"63","CLX","The Clorox Company","Акции иностранного эмитента обыкновенные","US1890541097","17.08.2022"
"64","CMCSA","Comcast Corporation","Акции иностранного эмитента обыкновенные класса A","US20030N1019","17.08.2022"
"65","CNC","Centene Corporation","Акции иностранного эмитента обыкновенные","US15135B1017","17.08.2022"
"66","CNK","Cinemark Holdings, Inc.","Акции иностранного эмитента обыкновенные","US17243V1026","10.08.2022"
"67","CNX","CNX Resources Corporation","Акции иностранного эмитента обыкновенные","US12653C1080","17.08.2022"
"68","COP","ConocoPhillips","Акции иностранного эмитента обыкновенные","US20825C1045","10.08.2022"
"69","COST","Costco Wholesale Corporation","Акции иностранного эмитента обыкновенные","US22160K1051","17.08.2022"
"70","COUP","Coupa Software Incorporated","Акции иностранного эмитента обыкновенные","US22266L1061","17.08.2022"
"71","CPNG","Coupang, Inc.","Акции иностранного эмитента обыкновенные класса A","US22266T1097","10.08.2022"
"72","CPRI","Capri Holdings Limited","Акции иностранного эмитента обыкновенные","VGG1890L1076","17.08.2022"
"73","CRM","Salesforce, Inc.","Акции иностранного эмитента обыкновенные","US79466L3024","10.08.2022"
"74","CROX","Crocs, Inc.","Акции иностранного эмитента обыкновенные","US2270461096","10.08.2022"
"75","CRWD","CrowdStrike Holdings, Inc.","Акции иностранного эмитента обыкновенные класса A","US22788C1053","10.08.2022"
"76","CSCO","Cisco Systems, Inc.","Акции иностранного эмитента обыкновенные","US17275R1023","10.08.2022"
"77","CTRA","Coterra Energy Inc.","Акции иностранного эмитента обыкновенные","US1270971039","17.08.2022"
"78","CVS","CVS Health Corporation","Акции иностранного эмитента обыкновенные","US1266501006","10.08.2022"
"79","CVX","Chevron Corporation","Акции иностранного эмитента обыкновенные","US1667641005","10.08.2022"
"80","CZR","Caesars Entertainment, Inc.","Акции иностранного эмитента обыкновенные","US12769G1004","17.08.2022"
"81","DAL","Delta Air Lines, Inc.","Акции иностранного эмитента обыкновенные","US2473617023","10.08.2022"
"82","DAR","Darling Ingredients Inc.","Акции иностранного эмитента обыкновенные","US2372661015","17.08.2022"
"83","DBX","Dropbox, Inc.","Акции иностранного эмитента обыкновенные класса A","US26210C1045","17.08.2022"
"84","DD","DuPont de Nemours, Inc.","Акции иностранного эмитента обыкновенные","US26614N1028","10.08.2022"
"85","DE","Deere & Company","Акции иностранного эмитента обыкновенные","US2441991054","10.08.2022"
